UID,Name,Age,Email,Phone,Gender
2,Helen,17,helen@textmail.com,06457634543,female
3,Max,45,Max-1@textmail.com,07657324322,male
5,Ivan,77,Ivan-777@textmail.com,02345324543,male
7,Ann,53,annie@textmail.com,08563445233,female
8,Matt,33,mett@textmail.com,06435433452,male
10,Jack,43,jj@textmail.com,08967443234,male
11,Taras,37,tar@somemail.com,05464353534,male
12,"Leo D.",42,leo@gmail.com,03534522456,male
1,Alex,22,alex@textmail.com,01243453425,male
4,John,12,j@textmail.com,09345723467,male
6,Peter,35,pp@textmail.com,07456342343,male
9,Kate,21,katerina@textmail.com,02453546444,female
